Time,Timestamp,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10
0.476,2026-04-09 12:18:26.433811,-2.563234,5.471361,0.253533,7.919298,-0.958959,0.813969,3.398797,-4.898441,4.000000,0.000000
0.480,2026-04-09 12:18:26.437811,1.565841,8.538168,4.246250,11.291740,-0.928940,5.127576,7.371383,-1.475936,4.000000,0.000000
0.484,2026-04-09 12:18:26.441811,6.609357,12.828468,9.277499,12.292679,3.757434,8.266760,11.226517,3.214654,4.000000,0.000000
0.488,2026-04-09 12:18:26.445811,12.154119,17.426987,12.778010,11.345263,8.986427,10.718794,13.367188,8.475143,4.000000,0.000000
0.492,2026-04-09 12:18:26.449811,16.338800,17.609156,13.579414,10.786420,12.913831,15.132248,14.051396,11.153607,4.000000,0.000000
0.496,2026-04-09 12:18:26.453811,20.596548,12.342418,12.932732,11.477417,15.456633,19.374807,14.577558,11.233459,4.000000,0.000000
0.500,2026-04-09 12:18:26.457811,23.128567,5.942121,12.197327,12.579387,14.852278,21.825100,14.033717,10.723575,4.000000,0.000000
0.504,2026-04-09 12:18:26.461811,20.686487,4.356139,11.668582,15.251511,10.923668,23.324579,11.882741,9.034782,4.000000,0.000000
0.508,2026-04-09 12:18:26.465811,15.005264,6.224215,12.528814,15.824661,6.866595,22.257202,10.118238,7.389006,4.000000,0.000000
0.512,2026-04-09 12:18:26.469811,8.548103,8.618398,12.205381,13.423759,7.067586,18.858423,9.603520,8.753438,4.000000,0.000000
0.516,2026-04-09 12:18:26.473811,2.373749,10.510982,8.577504,12.976054,9.727437,14.007512,8.769690,9.681705,4.000000,0.000000
0.520,2026-04-09 12:18:26.477811,-2.939754,9.293506,6.168709,11.641693,8.865497,6.033978,8.010335,5.163470,4.000000,0.000000
0.524,2026-04-09 12:18:26.481811,-6.929935,6.555416,4.600195,6.210266,3.719894,-1.871992,7.663854,-2.226581,4.000000,0.000000
0.528,2026-04-09 12:18:26.485811,-9.923294,3.794487,-0.784023,0.489307,-1.261898,-7.305691,3.973432,-9.039739,4.000000,0.000000
0.532,2026-04-09 12:18:26.489811,-11.677594,-0.945074,-7.145349,-2.361347,-4.190938,-12.062795,-5.021071,-14.482816,4.000000,0.000000
0.536,2026-04-09 12:18:26.493811,-11.984358,-6.104496,-10.693268,-2.757560,-7.168276,-15.083097,-13.267471,-16.916178,4.000000,0.000000
0.540,2026-04-09 12:18:26.497811,-11.734520,-10.501088,-13.820938,-4.749938,-9.727435,-15.957988,-17.046768,-15.904538,4.000000,0.000000
0.544,2026-04-09 12:18:26.501811,-11.120888,-14.477776,-17.918009,-10.205549,-9.804936,-15.127983,-19.535080,-14.152745,4.000000,0.000000
0.548,2026-04-09 12:18:26.505811,-11.723089,-15.775787,-19.936092,-14.967787,-8.578459,-13.356107,-21.667547,-13.378632,4.000000,0.000000
0.552,2026-04-09 12:18:26.509811,-15.540754,-13.264282,-19.013510,-16.901779,-8.388191,-11.714686,-22.264288,-10.608823,4.000000,0.000000
0.556,2026-04-09 12:18:26.513811,-20.547604,-8.250593,-18.201777,-16.246302,-7.694425,-10.340755,-21.031286,-5.065211,4.000000,0.000000
